Project;X;Y;Ecoregion;Basin;BC region
Bahia2014;-46.83416667;1.316944444;ER72;FOZ;
Bahia2014;-49.34472222;3.163611111;ER72;FOZ;
Bahia2014;-50.45055556;4.384166667;ER72;FOZ;
Bahia2014;-50.69944444;4.390555556;ER72;FOZ;
TeseNicholas;-46.74238333;1.52186667;ER72;FOZ;
TeseNicholas;-46.83615;1.31868333;ER72;FOZ;
TeseNicholas;-48.49;2.95;ER72;FOZ;
TeseNicholas;-48.59003333;3.21026667;ER72;FOZ;
TeseNicholas;-49.92213333;4.37271667;ER72;FOZ;
TeseNicholas;-50.7403;5.39781667;ER72;FOZ;
Alucia;-48.43648622;2.602263355;ER72;FOZ;
Alucia;-49.69299282;3.699755414;ER72;FOZ;
Alucia;-47.27329567;1.652715157;ER72;FOZ;
Alucia;-47.27139043;1.622909362;ER72;FOZ;
Alucia;-47.38196226;1.88500746;ER72;FOZ;
Alucia;-50.38805894;4.65570373;ER72;FOZ;
Alucia;-49.72184214;3.853591923;ER72;FOZ;
Alucia;-48.76696705;2.74880545;ER72;FOZ;
Alucia;-47.23438536;1.41263262;ER72;FOZ;
Alucia;-47.48411602;2.005031267;ER72;FOZ;
Alucia;-47.92906184;1.743942429;ER72;FOZ;
Alucia;-47.34895626;1.549357758;ER72;FOZ;
Alucia;-50.65150512;5.166979566;ER72;FOZ;
Alucia;-50.03237286;4.516167923;ER72;FOZ;
Alucia;-48.8594281;2.806785548;ER72;FOZ;
Alucia;-49.30783647;3.330392879;ER72;FOZ;
Alucia;-49.40087278;3.152130053;ER72;FOZ;
Alucia;-47.51748586;1.436377834;ER72;FOZ;
Alucia;-46.68264492;1.113441251;ER72;FOZ;
Alucia;-49.19201482;3.436213548;ER72;FOZ;
Alucia;-47.35708357;1.653376469;ER72;FOZ;
Alucia;-47.11964514;1.558777281;ER72;FOZ;
Alucia;-47.81680564;1.767040774;ER72;FOZ;
Alucia;-49.97126307;3.834367068;ER72;FOZ;
Alucia;-48.98895185;2.9616213;ER72;FOZ;
Alucia;-47.94032005;2.119529106;ER72;FOZ;
Alucia;-46.89641779;1.230581729;ER72;FOZ;
Alucia;-48.9925279;3.09683173;ER72;FOZ;
Alucia;-47.52285567;1.666601409;ER72;FOZ;
Alucia;-47.21433634;1.411996282;ER72;FOZ;
Alucia;-50.25853173;4.594048294;ER72;FOZ;
Alucia;-48.05422377;2.26213721;ER72;FOZ;
Alucia;-47.21187857;1.720310443;ER72;FOZ;
Alucia;-47.84449131;1.745911989;ER72;FOZ;
Alucia;-50.69755871;5.126399315;ER72;FOZ;
Alucia;-46.65741157;1.155670389;ER72;FOZ;
Alucia;-50.26169702;3.845950052;ER72;FOZ;
Alucia;-47.15158267;1.600929837;ER72;FOZ;
Alucia;-49.48838057;3.220309059;ER72;FOZ;
Alucia;-47.89832814;1.986816009;ER72;FOZ;
Alucia;-48.83478957;2.837678569;ER72;FOZ;
Alucia;-48.05929195;2.218840841;ER72;FOZ;
Alucia;-49.47718751;3.25647652;ER72;FOZ;
Alucia;-50.33814964;4.605858629;ER72;FOZ;
Alucia;-49.17555243;3.358416913;ER72;FOZ;
Alucia;-49.15730106;3.406584154;ER72;FOZ;
