"Aspect_R";"Aspect_S";"B_CV_Max";"B_CV_Min";"B_CV_R";"B_CV_X";"B_CV_Xmax";"B_CV_Xmin";"B_Fe_Max";"B_Fe_Min";"B_Fe_R";"B_Fe_X";"B_Fe_Xmax";"B_Fe_Xmin";"B_Light_Max";"B_Light_Min";"B_Light_R";"B_Light_X";"B_Light_Xmax";"B_Light_Xmin";"B_NIT_Max";"B_NIT_Min";"B_NIT_R";"B_NIT_X";"B_NIT_Xmax";"B_NIT_Xmin";"B_PO4_Max";"B_PO4_Min";"B_PO4_R";"B_PO4_X";"B_PO4_Xmax";"B_PO4_Xmin";"B_SAL_Max";"B_SAL_Min";"B_SAL_R";"B_SAL_X";"B_SAL_Xmax";"B_SAL_Xmin";"B_T_Max";"B_T_Min";"B_T_R";"B_T_X";"B_T_Xmax";"B_T_Xmin";"BAT";"FlowDir";"River";"Roughness";"S_ALKA_X";"S_ARA_X";"S_CAL_X";"S_CO2_X";"Slope_R";"Slope_S";"TPI";"TRI"
"Aspect_R";1;0.953269485071971;-0.0166248279765803;-0.118342986474169;-0.109828329167848;-0.136633601177108;-0.0784383581530839;-0.121941849024662;-0.0336492571583395;0.0613662201118018;-0.0794949594075614;0.0309536247487139;-0.0165448225203951;0.0589074503318983;0.0156521033557119;0.00641922944332573;0.0387757725687046;0.00644408776547774;0.016166369701065;0.0051444040854126;0.0868206365007928;0.0700430560487348;0.105079487404673;0.0783429519036368;0.0827452229711084;0.0746131993989678;0.0893146808914309;0.076314500042282;0.0906901466724534;0.0818234721975746;0.0854871741649699;0.0791537027386436;-0.0699200044800029;-0.0796753898045076;-0.011188724877415;-0.0749688942181886;-0.0719806892427495;-0.0775098354466227;-0.0843772092230062;-0.0868704019487533;-0.0549603175471483;-0.0860820787281761;-0.0884104834313291;-0.084475397839989;-0.00592908698875285;0.33717611061314;0.065169258176228;-0.0518996051096585;0.0738465182407531;0.071044825383903;0.0712358866383855;0.0669444843578891;-0.0573969393291436;-0.052301740615517;-0.0525386302267035;-0.0559024781979519
"Aspect_S";0.953269485071971;1;-0.0150974705298052;-0.121897361865202;-0.111356354260093;-0.136273765888944;-0.0754294633752447;-0.124764848539749;-0.0314595745403058;0.0698088888931376;-0.0846830833533797;0.0386975298985676;-0.0119961721496462;0.0674049610869946;0.0219915646123397;0.00753942113469888;0.0412521738382678;0.00948575923456086;0.0210123761362661;0.00675103382409875;0.0951985242189882;0.078344881903536;0.108686274601731;0.0868150376499593;0.0910238787824065;0.0832132828844768;0.0975179644097559;0.0844730692731734;0.0927920776628583;0.0901065818188353;0.0935953875218062;0.0875429757785882;-0.0789498299085983;-0.0873051988165162;-0.0238598194560895;-0.0833337056916943;-0.0808772630067647;-0.0853988905971457;-0.092234924875558;-0.0943555196878357;-0.0627752052908166;-0.0937417986163273;-0.0960135427579746;-0.0921357265541485;-0.00373455754468346;0.359873904189805;0.0701935308901899;-0.049970420539651;0.070348705103067;0.0683766449273734;0.0685676756477217;0.0644253092080507;-0.0564403276473562;-0.0514721398693135;-0.0485794178966934;-0.0540455475602843
"B_CV_Max";-0.0166248279765803;-0.0150974705298052;1;0.205607815940992;-0.206259712959445;0.540159225554034;0.938987181493046;0.234169182744271;0.13639235202197;-0.143339192699459;0.234465648943628;-0.103933071650227;0.040284592695778;-0.141202313415255;0.335804535857937;0.480785310988414;0.16360554756397;0.432344883476431;0.367983788108539;0.481599306761737;-0.0923509453349948;-0.070612628015697;-0.128252486402973;-0.0824996309869336;-0.0860281594949727;-0.0803442617655575;-0.116547703931871;-0.0939687803261488;-0.148766660405755;-0.111657375923965;-0.11590318060517;-0.107785561010532;-0.0815376929636603;-0.133749131065152;0.15929977498717;-0.0896812093916143;-0.0732068959482284;-0.110906703102269;0.187362737261094;0.212598914351946;0.0342018351936021;0.208204054323018;0.197180882966192;0.213726400246417;0.0758954774917476;0.0183457389674962;0.0891832013528242;-0.0412109210007933;-0.689265493335049;-0.717328497747134;-0.726592552967302;-0.660326837482757;-0.0423129555059028;-0.0402984672275204;-0.0243934080061306;-0.0417691646928082
"B_CV_Min";-0.118342986474169;-0.121897361865202;0.205607815940992;1;0.642543462280464;0.860251084418177;0.434272984923642;0.981422947166317;-0.0143588492693931;-0.701554334367733;0.572613400743246;-0.531274094975822;-0.204573499143678;-0.676917648266487;0.0197426260196882;0.0756010340314892;-0.175388643532792;0.0800962061782351;0.0465539523497076;0.107310335741665;-0.773973658180126;-0.766127155272548;-0.336676623278607;-0.778252338364857;-0.775036449163647;-0.779638400145505;-0.776515831877591;-0.776419812038139;-0.176555505090484;-0.782152657551515;-0.777715813038763;-0.785044763587186;0.71731134667213;0.71007651916735;0.567724094666616;0.712542085708929;0.713128381405845;0.713170708257592;0.792488871824751;0.755556979553114;0.785286278242645;0.783111760891267;0.789221945462228;0.773238451661061;0.142464633782422;-0.0563049706751119;0.308261293903086;-0.258438133644564;-0.548021294890556;-0.510203653390731;-0.508327408067165;-0.473013355373112;-0.257664383489335;-0.237291453422522;-0.153012570562004;-0.255960119688043
"B_CV_R";-0.109828329167848;-0.111356354260093;-0.206259712959445;0.642543462280464;1;0.526449365899752;0.0368523521364894;0.613549845574632;0.149131354674711;-0.530077253284891;0.567101863343343;-0.315682950221763;-0.00753984058703085;-0.496791458252803;-0.145595330020384;-0.0975899144464838;-0.22021343977962;-0.0982908206775461;-0.126494898962746;-0.0816041179006587;-0.66953839121167;-0.624300027463532;-0.45405510365795;-0.651266326496385;-0.66037272281421;-0.641573970599954;-0.668282672482353;-0.633344459183936;-0.340813815443698;-0.650000574272266;-0.656894712934196;-0.643640897818796;0.675477311536348;0.697636115124869;0.41233639458221;0.679117792594618;0.667521849237278;0.690487734529403;0.647148517850033;0.630397031868878;0.581485825097553;0.641573423445771;0.649937243178477;0.634058177055604;0.146172259258768;-0.0733206867794112;-0.0904094819037018;-0.21895422514544;0.00383217616411755;-0.0553268427617984;-0.0508325575447504;0.096803562139115;-0.218039043243236;-0.202238557793944;-0.117133428671173;-0.217352052384886
"B_CV_X";-0.136633601177108;-0.136273765888944;0.540159225554034;0.860251084418177;0.526449365899752;1;0.766847121124097;0.909018875914726;0.128884930234017;-0.476726500338589;0.505870427053657;-0.313506716603152;-0.0287405464056842;-0.450911413829422;0.129808368525854;0.241038238997394;-0.0680003665574199;0.214401044642434;0.160071605401522;0.265629948506433;-0.570680169404969;-0.5269638200675;-0.408851085048805;-0.554982790438775;-0.561344521813707;-0.548676642125157;-0.583945140478875;-0.549690931698818;-0.317988304817691;-0.572672509154154;-0.577227711768895;-0.568201749259579;0.438238802423356;0.435009609548949;0.341822788063979;0.437904254924484;0.43912462141993;0.438409662608663;0.628468047859708;0.615442691147329;0.55024244675557;0.632893380177405;0.634948080651021;0.626698529124699;0.157663757529988;-0.0413842402512805;0.174487260158421;-0.187862971713689;-0.667277655577314;-0.640728582995344;-0.64329542141581;-0.621474429132818;-0.187257931095908;-0.173732286320076;-0.101666631341609;-0.186608370799367
"B_CV_Xmax";-0.0784383581530839;-0.0754294633752447;0.938987181493046;0.434272984923642;0.0368523521364894;0.766847121124097;1;0.482677854404771;0.213691117478357;-0.223172834336964;0.365984622732867;-0.113979023773004;0.0976028384624916;-0.207678269302112;0.282548814829188;0.443310532067619;0.110398854602813;0.391123695388935;0.320034786927407;0.450627700500497;-0.245460954784305;-0.208389698945711;-0.2532052577988;-0.229064388021895;-0.235902768060275;-0.223756007176082;-0.26894672800887;-0.235479264939926;-0.242315539269623;-0.258628230774147;-0.264977192790532;-0.253109173332575;0.0622533623875631;0.0274197888844954;0.19363913030348;0.057864288173219;0.0692771693064201;0.0440631632666565;0.341252805656234;0.354904973591969;0.206367451332368;0.358443606028273;0.35238558191493;0.359329213727086;0.119381287273016;-0.0150514222776015;0.0923960516962562;-0.0782756449255662;-0.744714822693413;-0.75866665365465;-0.766159841298584;-0.707337104512835;-0.0782160561813073;-0.0734246966189522;-0.0443350778044968;-0.0782352359780119
"B_CV_Xmin";-0.121941849024662;-0.124764848539749;0.234169182744271;0.981422947166317;0.613549845574632;0.909018875914726;0.482677854404771;1;0.0169734744656905;-0.595582485265497;0.510694414986183;-0.4358177449901;-0.147074126384974;-0.570536151190157;0.0340429440656958;0.0913418581333315;-0.151047804850295;0.0893979705304901;0.0575118240001072;0.122511710077986;-0.68916959217769;-0.669018787482098;-0.355526223311632;-0.687215380501974;-0.686801211452971;-0.686243277006544;-0.692820415101287;-0.682085595802532;-0.21522883168369;-0.693140064840265;-0.690980784357766;-0.694217587022424;0.621766899547191;0.62676936303557;0.444523130500353;0.620751983897985;0.619160995263441;0.625841826212126;0.716266105152257;0.681489386031373;0.715985291342395;0.708677952085856;0.715277395003771;0.69844510727507;0.14198936248162;-0.0466601397413501;0.277804432779454;-0.230813247121081;-0.566893039361493;-0.506337080918104;-0.505340014930066;-0.514565590995847;-0.230217129677254;-0.212543042157679;-0.13221032575683;-0.228879216209479
"B_Fe_Max";-0.0336492571583395;-0.0314595745403058;0.13639235202197;-0.0143588492693931;0.149131354674711;0.128884930234017;0.213691117478357;0.0169734744656905;1;0.286636618340867;0.602311607450587;0.657256901854212;0.952608688996002;0.354226769832326;0.190723142315626;0.333107984457002;0.258341142106093;0.271523636018195;0.21768251116909;0.320358620257261;-0.114002245784072;0.0109715392283748;-0.573860805015564;-0.051241230021212;-0.0798578002056807;-0.0261790248979738;-0.129508208777815;-0.030495145974139;-0.56586764771725;-0.079459440923518;-0.101299888298204;-0.0617792954352563;0.0920049057575424;0.128188091578175;-0.0838123251163728;0.116027461629919;0.106717849869339;0.127552852422786;0.153746760764444;0.168089538997374;0.0564489982426315;0.161274851354899;0.172457538686844;0.154273697884284;0.136842692726707;-0.0155287586746447;-0.298915623555756;0.0554091761200551;-0.0584218973470137;-0.0666380053701787;-0.0700712826657495;-0.0567958025149621;0.0527179646693796;0.0498368885997257;-0.00128967997240363;0.052874502899263
"B_Fe_Min";0.0613662201118018;0.0698088888931376;-0.143339192699459;-0.701554334367733;-0.530077253284891;-0.476726500338589;-0.223172834336964;-0.595582485265497;0.286636618340867;1;-0.592119071883065;0.902507986893891;0.547067235116439;0.996134299419554;0.0566205838507472;-0.029966425770769;0.216764570628182;-0.038175357560091;0.0100599842921366;-0.047312465383092;0.886033102791194;0.923402947667371;0.189156955571189;0.909856250839491;0.89985780615905;0.916808249858366;0.881052886996908;0.915222383372219;0.0145841560314066;0.902056068970286;0.893802060736093;0.907364374882036;-0.847976696921876;-0.795288987171549;-0.85741585741097;-0.830138684065126;-0.841141996200586;-0.810114633579999;-0.877558322757306;-0.870109786374504;-0.720442864487049;-0.875463796611424;-0.869095464757507;-0.878569557251224;-0.209791973574133;0.0517594183727292;-0.172387379140653;0.376792891748776;0.200648858301294;0.270116218301955;0.268391598135543;0.112035315047678;0.371786297370912;0.344602839904995;0.165452066286496;0.370050774834543
