sp;lon;lat
rodolito;-46.83416667;1.316944444
rodolito;-49.34472222;3.163611111
rodolito;-50.45055556;4.384166667
rodolito;-50.69944444;4.390555556
rodolito;-46.74238333;1.52186667
rodolito;-46.83615;1.31868333
rodolito;-48.49;2.95
rodolito;-48.59003333;3.21026667
rodolito;-49.92213333;4.37271667
rodolito;-50.7403;5.39781667
rodolito;-48.43648622;2.602263355
rodolito;-49.69299282;3.699755414
rodolito;-47.27329567;1.652715157
rodolito;-47.27139043;1.622909362
rodolito;-47.38196226;1.88500746
rodolito;-50.38805894;4.65570373
rodolito;-49.72184214;3.853591923
rodolito;-48.76696705;2.74880545
rodolito;-47.23438536;1.41263262
rodolito;-47.48411602;2.005031267
rodolito;-47.92906184;1.743942429
rodolito;-47.34895626;1.549357758
rodolito;-50.65150512;5.166979566
rodolito;-50.03237286;4.516167923
rodolito;-48.8594281;2.806785548
rodolito;-49.30783647;3.330392879
rodolito;-49.40087278;3.152130053
rodolito;-47.51748586;1.436377834
rodolito;-46.68264492;1.113441251
rodolito;-49.19201482;3.436213548
rodolito;-47.35708357;1.653376469
rodolito;-47.11964514;1.558777281
rodolito;-47.81680564;1.767040774
rodolito;-49.97126307;3.834367068
rodolito;-48.98895185;2.9616213
rodolito;-47.94032005;2.119529106
rodolito;-46.89641779;1.230581729
rodolito;-48.9925279;3.09683173
rodolito;-47.52285567;1.666601409
rodolito;-47.21433634;1.411996282
rodolito;-50.25853173;4.594048294
rodolito;-48.05422377;2.26213721
rodolito;-47.21187857;1.720310443
rodolito;-47.84449131;1.745911989
rodolito;-50.69755871;5.126399315
rodolito;-46.65741157;1.155670389
rodolito;-50.26169702;3.845950052
rodolito;-47.15158267;1.600929837
rodolito;-49.48838057;3.220309059
rodolito;-47.89832814;1.986816009
rodolito;-48.83478957;2.837678569
rodolito;-48.05929195;2.218840841
rodolito;-49.47718751;3.25647652
rodolito;-50.33814964;4.605858629
rodolito;-49.17555243;3.358416913
rodolito;-49.15730106;3.406584154
rodolito;-50.89872812;5.199899474
rodolito;-48.76033974;2.947741059
rodolito;-47.70425917;2.484732125
rodolito;-46.58446574;1.164518779
rodolito;-47.49078216;1.488934873
rodolito;-47.21157788;1.596224049
rodolito;-49.72190167;3.737299869
rodolito;-47.41015097;1.677296459
rodolito;-47.11213821;1.386328008
rodolito;-46.55207013;1.076902572
rodolito;-47.95789698;1.938866082
rodolito;-49.11109132;3.221078886
rodolito;-48.92782631;2.989673654
rodolito;-48.89769703;3.328729996
rodolito;-49.76901129;3.700325118
rodolito;-48.73818378;2.74310514
