cv_0;pa;lon;lat;B_CAL_X;B_CV_Max;B_CV_Min;B_Light_Max;B_Light_Min;B_SAL_Max;B_SAL_Min;B_T_Max;B_T_Min
3;1;-46.83416667;1.316944444;5.554737568;0.568922997;0.72050488;0.188026726;13.45833588;36.4608345;35.9634819;28.74602699;25.86316872
1;1;-49.34472222;3.163611111;5.528673172;0.781216264;0.771842718;2.62E-06;6.551681995;36.47261429;36.03226471;27.75544548;19.59591293
1;1;-50.45055556;4.384166667;5.449770451;0.97578001;0.914557695;0.734256923;22.312603;36.4159584;35.98247147;27.51063347;16.17002869
1;1;-50.69944444;4.390555556;5.446931839;0.740178108;0.714279771;0;1.766512394;36.39525986;35.98498917;27.87789726;23.13405037
4;1;-46.74238333;1.52186667;2.485930443;0.367589384;0.336686283;2.064566135;7.574541569;34.93593979;34.75080872;7.360555172;5.466351032
5;1;-48.49;2.95;5.675681591;0.815610409;0.733054996;4.06E-07;8.456940651;36.55472183;35.84687424;27.04129028;14.16038322
2;1;-48.59003333;3.21026667;2.282586813;0.431741536;0.368786871;0;2.031586409;34.79145813;34.602211;8.444747925;6.505355835
5;1;-49.92213333;4.37271667;5.059808731;0.463826299;0.467708081;0;1.680477977;35.23225021;34.83944321;11.27625561;8.082827568
5;1;-50.7403;5.39781667;2.292745352;0.326530725;0.331964046;0;4.143772602;34.81340408;34.68420792;6.691114426;5.460434437
2;1;-48.43648622;2.602263355;5.553471565;0.830888033;0.830985308;0;7.161977768;36.5447731;36.10558319;28.28539276;19.77331924
1;1;-49.69299282;3.699755414;5.584345341;0.863605917;0.7997576;0;2.080695629;36.46179962;36.02647018;27.54100609;18.52315521
3;1;-47.27329567;1.652715157;5.532666683;0.724046707;0.817731202;0.002729216;9.642897606;36.69814301;36.18144608;28.4877758;20.89189911
1;1;-47.27139043;1.622909362;5.532548428;0.734346807;0.829699278;0.003946777;12.84619522;36.70638657;36.18793869;28.52674103;21.07360649
