"x";"y"
"1";-38.6840733137011;-17.358656707776
"2";-38.5392986867039;-17.6586911692278
"3";-38.5668683836154;-17.388427804384
"4";-38.416607840101;-17.6070263136604
"5";-38.3824002515668;-17.5391765158425
"6";-38.9040010447462;-16.9829705650366
"7";-38.6160245147707;-17.4577618102632
"8";-38.5448027845168;-17.3330619067938
"9";-38.6272366488312;-17.389991820895
"10";-38.628686595624;-17.381510963346
"11";-38.2824485390714;-17.5789282847749
"12";-38.8356681428481;-17.3180279446692
"13";-38.8060082524834;-17.2844464593935
"14";-38.6986528180029;-17.5542249881651
"15";-38.8327498815207;-17.3351989916196
"16";-38.9991812894765;-16.8591121117808
"17";-38.7862832900653;-17.3334772511376
"18";-38.7321806620914;-16.7477721114344
"19";-38.5653685219691;-17.296342153167
"20";-38.6724345975055;-16.9791525775033
"21";-38.3248459832897;-17.5373787848844
"22";-38.6437845055931;-17.6620535224775
"23";-38.4112465711284;-17.4485114077899
"24";-38.7842644058757;-17.3001629469534
"25";-38.5047762405594;-17.5129305775196
"26";-38.8079501294703;-17.164871345114
"27";-38.817913040837;-17.2200086682826
"28";-38.4675911310208;-17.3979816622102
"29";-38.7683628650336;-17.3121907865478
"30";-38.815623324924;-17.0865226022987
"31";-38.6933416939171;-16.852041584741
"32";-38.8167420224429;-16.7635017955612
"33";-38.6369651795841;-17.3813370615945
"34";-38.4417276450667;-17.6000014001096
"35";-38.6922846961429;-17.1146968896188
"36";-38.720861966145;-17.1365656808146
"37";-38.7600425424878;-17.012497895
"38";-38.6794539021301;-16.7375555458288
"39";-38.7102244214644;-16.7464904119974
"40";-38.8795775443923;-16.771362015804
"41";-38.712062092405;-17.4511206005773
"42";-38.7842390527662;-16.7479071090362
"43";-38.5694029560432;-17.5059650233149
"44";-38.2273725772721;-17.5906104947134
"45";-38.8431534438619;-17.2796102940036
"46";-38.8792262365187;-17.2772597123423
"47";-39.0076597543969;-17.1614964502134
"48";-38.4103107132248;-17.5143285634384
"49";-38.8909847122248;-16.9842669238245
"50";-38.3851756977213;-17.4602244643291
"51";-38.5568665142419;-17.3645051620975
"52";-38.050026598888;-17.6413450883215
"53";-38.7171587162889;-16.9190318178192
"54";-38.0248069861869;-17.6556024173286
"55";-38.9321559364351;-16.9028908199238
"56";-38.7267818093931;-17.2826839716679
"57";-38.789858069995;-17.2546479623007
"58";-38.3685623764342;-17.6233502326862
"59";-38.7791282307196;-17.234592436068
"60";-38.5283193440689;-17.3600735078955
"61";-38.8568969132875;-17.0786134444305
"62";-38.7321322426246;-17.1169019926016
"63";-38.8197826529294;-17.1727598098247
"64";-38.5565713286096;-17.3562104207489
"65";-38.408751703413;-17.6534176219743
"66";-38.3784778589169;-17.5231053902409
"67";-38.7468878541471;-17.3870662616369
"68";-38.4216901093732;-17.4783122110448
"69";-38.8471870851127;-17.0691196543159
"70";-38.5128722876671;-17.6479797279396
"71";-38.8713146572212;-16.7615759310991
"72";-38.171279873398;-17.5347381249263
"73";-38.061907092797;-17.6607013963577
