"x";"y"
"1";-38.0190615029266;-18.9896166325931
"2";-38.1838853637728;-19.1792363656695
"3";-38.1438196222376;-19.1520888352795
"4";-38.2853700702235;-18.8714456704111
"5";-38.7470275548116;-19.500545012284
"6";-38.3583682638916;-18.9276572891025
"7";-37.9395659492541;-19.1696290626931
"8";-38.0495448928428;-19.1894496183585
"9";-38.2232205039642;-19.187801522127
"10";-37.979402882525;-19.0771445090823
"11";-38.4184658214179;-18.776807497896
"12";-37.9978059715453;-18.9016175853376
"13";-38.1057768112676;-19.0997064951005
"14";-38.1077501091806;-19.1721277715418
"15";-38.7334645340727;-19.4690748374692
"16";-38.1774952280681;-18.904505499553
"17";-38.1740146078567;-19.2816622409453
"18";-38.6292246931737;-19.4107328242365
"19";-38.8521444618463;-19.5511527922911
"20";-38.2189603259056;-19.0439233677343
"21";-38.7838897649751;-19.5119181465467
"22";-38.5187175559494;-19.3866135740947
"23";-38.0106727459694;-19.2168511716961
"24";-37.9950443377497;-18.9230378482605
"25";-38.4831737574002;-19.077432918373
"26";-38.002673328194;-19.1659619124129
"27";-38.3615197834796;-18.8894583718171
"28";-38.3423330710595;-19.1476913393376
"29";-38.3562741559738;-18.8238026043458
"30";-38.1649947630599;-18.8985611363744
"31";-39.4937595408419;-19.5483300755937
"32";-37.9676638533874;-18.9511638655333
"33";-39.2431991289581;-19.3824340798467
"34";-38.8846230589545;-19.351890043737
"35";-38.5481645778286;-19.1302756684434
"36";-38.6338290306418;-19.3216244028216
"37";-37.8904147120397;-19.1078736318425
"38";-38.0250694380078;-18.9306501812674
"39";-37.9598231206963;-19.1347407887406
"40";-38.6194671579773;-19.3338513217749
"41";-38.8450163967371;-19.5506672616961
"42";-38.67913696477;-19.185925754793
"43";-39.1313468926757;-19.451770828319
"44";-38.4328847010695;-18.9663401103147
"45";-39.2164952870707;-19.3841091812967
"46";-38.3892101345835;-19.1203551615793
"47";-38.4044677511694;-19.4485028493054
"48";-38.4498136890398;-19.0342586463383
"49";-38.9089029267193;-19.5195605396272
"50";-38.0671752181187;-18.9853340328291
"51";-39.1973497423384;-19.3666366604066
"52";-38.0722760578683;-18.9324449062576
"53";-38.4264034162938;-19.380143494645
"54";-38.2288108537199;-18.7785894173575
"55";-38.120881161765;-19.3208443464307
"56";-37.9527128232543;-19.0423834513248
"57";-38.2666568413579;-18.9341860108554
"58";-38.2400064501265;-19.1989365142469
"59";-38.2414981188129;-18.9037657132618
"60";-38.8252260327192;-19.1992121977693
"61";-38.1984031837557;-18.8684184573475
"62";-38.5187949852075;-19.0865167747262
"63";-38.6572057751142;-19.3187290976875
"64";-38.5035927386766;-19.1120076700022
"65";-38.2348845605668;-19.2634001991955
"66";-38.1583274272714;-18.9366698192477
"67";-38.2696691176839;-19.2392720660915
"68";-37.9953967806231;-19.1731041687626
"69";-38.1928649613517;-18.9321033704561
"70";-37.9111254333834;-19.1220805813991
"71";-38.0765170957432;-19.0382343618055
"72";-38.513594355773;-18.9078863594364
"73";-38.4885386130941;-19.153451510162
"74";-38.4552706984592;-19.0327465101116
"75";-38.2045666761974;-19.0932997434373
"76";-38.205140887746;-19.3662529335387
"77";-38.1623759089756;-19.2880697243314
"78";-38.9453201789591;-19.417240506354
"79";-38.0852721368634;-19.0236708807769
"80";-38.0689655495154;-19.2757419037122
"81";-38.4932263937213;-19.4062112869229
"82";-38.3532917646675;-19.0124593817985
"83";-38.4039785006744;-19.1226350837286
"84";-37.9522458022251;-19.1736196187347
"85";-38.0180554424588;-18.8564538506924
"86";-39.1910448397941;-19.4142000496856
"87";-38.498050423858;-19.1422718746735
"88";-38.0682456503943;-19.3443958970098
"89";-38.7659038367454;-19.5254324473483
"90";-38.6540501079645;-19.1543025179268
"91";-38.4120457085931;-19.3304030106788
"92";-38.3190531390953;-19.1883585113149
"93";-38.2867294010385;-18.7877329137272
"94";-38.039415942732;-18.9658775903571
"95";-39.3338228102365;-19.1354627649653
"96";-38.4333530547239;-19.0507498236376
"97";-39.1158483585503;-19.4512683073425
"98";-38.7568656223517;-19.4011243971113
"99";-38.1805739723506;-18.8174581030007
"100";-38.9590970723088;-19.4653695665205
"101";-38.7237517171187;-19.4203400532847
"102";-38.1280573935006;-19.3492897342917
"103";-38.8113698217447;-19.1889141052851
"104";-38.4309336589083;-18.8180710100783
"105";-38.3172107060943;-18.8030405286777
"106";-38.3979739467231;-18.7611804278731
"107";-38.084094460674;-18.8221776322481
"108";-38.4400312704296;-19.3308730111037
"109";-38.997890301507;-19.4253557486907
"110";-38.1916832065336;-19.2536013206014
"111";-38.0023580024567;-18.8536962009374
"112";-38.2314889656713;-19.0649843052345
"113";-38.5010305898986;-18.9159728919785
"114";-37.9335163133582;-19.1361478742755
"115";-38.4982704582391;-19.4393411616914
"116";-39.163079409068;-19.3986242955449
"117";-39.00349360326;-19.3958523408509
"118";-38.0371897688233;-19.0997779000668
"119";-38.5588451517173;-19.2933775428378
"120";-38.0731582120646;-18.8829681981323
"121";-38.8592873593841;-19.5407756408171
"122";-37.9839208235989;-18.998295442611
"123";-38.6549360427959;-19.1536712654629
"124";-39.1757952014957;-19.339697164241
"125";-38.318449998117;-18.7864912998354
"126";-38.0896102895239;-19.3258078676905
"127";-38.758851660617;-19.2225285688148
"128";-39.0420642311641;-19.3908383505415
"129";-38.7759778992715;-19.1788138136967
"130";-37.9381790267727;-19.093584436477
"131";-39.1727417153838;-18.9792817157457
"132";-38.4045500228989;-18.7689636872818
