"x";"y"
"1";-37.3932097099665;-18.0910764104634
"2";-38.3822519057788;-17.7862993053022
"3";-38.0461903913462;-18.2106354966436
"4";-37.6183855943217;-18.2216700051753
"5";-37.4244037349085;-17.8124838019886
"6";-38.9072378486797;-17.9687314199676
"7";-38.2572451343064;-18.549016956681
"8";-37.8374585833313;-17.770004005583
"9";-38.0514384612494;-18.4308380272579
"10";-38.3975082263531;-18.5484612240946
"11";-38.3776962835258;-18.5851389446561
"12";-37.7002179478718;-18.2919554267904
"13";-37.7557146179602;-18.0937559772767
"14";-38.615454945163;-17.6865846109552
"15";-37.4121395294403;-17.9025201920718
"16";-38.2168892232701;-18.0704474421247
"17";-37.6558770442027;-17.985733773051
"18";-37.6123238375773;-18.2424510833142
"19";-37.7105954490651;-17.742127897463
"20";-37.7943524838142;-17.8242403909132
"21";-37.9780937417975;-18.3535040053736
"22";-38.2665585322391;-18.5644385189471
"23";-37.6970226356997;-17.7494320740437
"24";-38.5164278625742;-17.8321373783788
"25";-37.6646689355399;-17.8241368078102
"26";-37.5151110882375;-17.8060337060286
"27";-37.8641512358032;-18.3046200192073
"28";-38.1626948510405;-17.6660004336307
"29";-37.869372661334;-17.8760808896178
"30";-37.8844017593051;-17.9776392432908
"31";-38.131185571282;-17.9045448566136
"32";-38.3796548141038;-18.0939215646425
"33";-38.1891812863541;-18.5104658104665
"34";-38.4021821897669;-18.5397828921781
"35";-38.3324535312161;-17.7671369438527
"36";-38.0070272050496;-18.4555054482216
"37";-37.5316936909804;-17.8157442001555
"38";-37.8353570834404;-17.7252351642939
"39";-37.5615888263402;-17.965826532241
"40";-38.2194491022482;-18.6456102624031
"41";-37.873004197075;-18.2904963585296
"42";-37.5019573818652;-17.9436432547444
"43";-37.6833600391081;-17.7313951812298
"44";-38.1673992522336;-17.7698266225658
"45";-37.6427299802905;-18.2934171161197
"46";-38.0451747172682;-18.7848606864879
"47";-38.4415015458656;-17.9304587987362
"48";-38.088761049147;-17.8453461497408
"49";-37.9117993036657;-18.280407270184
"50";-37.4030226534179;-17.9253532189539
"51";-38.2560018904825;-18.0999020472364
"52";-38.2103864339035;-18.7805540831134
"53";-37.8201289137169;-17.7493162997936
"54";-38.4280467487072;-17.9753649788003
"55";-37.8934309708872;-17.7029454117421
"56";-38.1823671954445;-18.6867920091921
"57";-37.9226086856048;-17.8208988292084
"58";-37.5698779177416;-17.9014536522081
"59";-37.7511789649142;-18.4005923565743
"60";-37.9155845751782;-18.7316687462202
"61";-38.1605200062517;-18.3539984785887
"62";-37.7633981468821;-18.2561127325974
"63";-38.0072474644929;-17.9176486885437
"64";-37.7313798617409;-18.192819810399
"65";-37.6455156060076;-17.7318028812314
"66";-37.8138441737428;-18.082043865658
"67";-37.9367723812262;-18.7665929131468
"68";-38.3458201267882;-17.9476898574254
"69";-37.9850148457152;-18.8195959478783
"70";-37.6322496099356;-17.8867266866043
"71";-37.8666652263363;-18.0335184046958
"72";-38.0690506893329;-18.4651298031141
"73";-37.9086230026306;-18.5792961347007
"74";-38.367077054988;-18.6465917644696
"75";-37.7279395555916;-17.9542158782216
"76";-37.8023329640121;-17.9629141951338
"77";-37.8662892839787;-17.907350733328
"78";-37.7059502298607;-17.7393245347646
"79";-38.2108584719412;-18.3032834014364
"80";-38.3705493494037;-18.4411713650893
"81";-37.8575345193098;-18.246825369408
"82";-38.3663384966611;-18.4300423858201
"83";-38.4881273938543;-17.7093159434994
"84";-37.6767763202034;-18.3468145710848
"85";-37.9350430034816;-17.6760145814539
"86";-37.9713075890974;-18.5257136121701
"87";-37.4114498801401;-18.00113536321
"88";-38.0046729251353;-18.3482955498433
"89";-38.0166383859853;-18.8166258854165
"90";-37.7283002861487;-18.0239963464618
"91";-38.0314054649478;-18.2289481299059
"92";-37.7546855104128;-17.9026532962579
"93";-37.8548421474221;-17.83288370116
"94";-38.3264556184027;-18.6385680580227
"95";-37.6395282226271;-17.8481326100193
"96";-38.3651152076929;-18.6513825114355
"97";-37.5416178104104;-17.9574723138148
"98";-38.0191334329245;-18.2969146288792
"99";-38.4475182633652;-17.7805612317064
"100";-38.2986773097699;-18.5353990209492
"101";-37.7072859540265;-18.0306031447877
"102";-38.312778975386;-17.8306678772585
"103";-37.7301145212668;-17.7670321131237
"104";-38.4916092973409;-18.1500126574388
"105";-37.9389807758918;-18.8574327914716
"106";-37.6797007454262;-17.8347033042978
"107";-38.0694973394058;-18.7237090326805
"108";-38.1060085475864;-18.4286739843055
"109";-37.5822500691178;-17.9148139727495
"110";-38.2684179403833;-18.7148794035339
"111";-37.6665498816564;-17.886876129158
"112";-38.3404199038577;-17.816305291636
"113";-38.1511747822227;-18.5259078125536
"114";-37.9281359390164;-17.6961915441305
"115";-38.1171326399013;-18.1492020905176
"116";-38.2680984899519;-18.2215770533275
"117";-37.4946661198952;-17.8731259642583
"118";-37.9553418239037;-18.8156337069784
"119";-38.2807713871955;-17.8865758245235
"120";-38.007488042703;-18.4578266183527
"121";-37.4863394961378;-17.7799517215443
"122";-38.3680838849488;-18.6069318909231
"123";-38.3651215709256;-18.5898193159823
"124";-37.9413245930628;-18.7090347041789
"125";-38.101638679639;-18.6996072367582
"126";-37.4229928403028;-17.8263550482746
"127";-37.5928708927105;-18.1570750190146
"128";-38.2122844382385;-18.2826568465703
"129";-38.0847283726106;-18.380854359137
"130";-37.9670543635923;-17.8616546504284
"131";-37.5322018826897;-18.1328432166337
"132";-38.1799506437414;-17.7144695476645
"133";-37.7572014441764;-18.4226553336587
"134";-38.3794690677839;-18.4914510676285
"135";-38.3865052043312;-18.3501060806979
"136";-38.3115251875653;-17.7290101919222
"137";-37.9214519738135;-18.7093800125287
"138";-38.4680862277857;-17.9633326767204
"139";-37.3849615943408;-18.1161738793652
"140";-37.980953582362;-18.638356290866
"141";-37.6115418686399;-17.7209864751163
"142";-38.0923369354134;-17.666530525419
"143";-38.3107248994084;-18.6597477732113
"144";-37.481903483072;-17.987552949086
"145";-37.7202256684695;-18.2511152699112
"146";-38.7615490724925;-18.1919392978573
"147";-38.0976367989219;-17.7514086160531
"148";-38.052570021237;-18.5079689558776
"149";-38.1180747429276;-18.5863849694584
"150";-37.8047195288693;-18.2939996131642
"151";-37.4039603203741;-17.9736439888025
"152";-38.0739615329628;-17.9181637213965
"153";-38.0056851170664;-18.3080979774528
