ID;X;Y
1;-38.33278965;-19.65900268
2;-38.33298027;-20.06774073
3;-38.72194488;-19.26130659
4;-38.28020763;-19.6371563
5;-40.41488163;-21.01436886
6;-36.70269617;-20.38195314
7;-38.96303094;-19.44867986
8;-38.32236546;-19.79426006
9;-38.33342843;-18.84383518
10;-37.99717966;-19.83869236
11;-40.24330663;-20.78903196
12;-38.34554777;-19.02343038
13;-38.09716485;-20.68402632
14;-40.48206009;-21.02756784
15;-38.22008865;-19.76833301
16;-38.05950364;-18.84802587
17;-38.19681707;-19.64394903
18;-38.00118541;-19.72027485
19;-38.14127897;-19.07141927
20;-40.43441019;-21.00531211
21;-37.81166571;-20.74681721
22;-38.30803672;-19.05608805
23;-38.30345427;-19.29874202
24;-40.52705067;-20.96228762
25;-38.38052899;-19.38246281
26;-40.40415688;-21.40085278
27;-38.08357864;-19.85502074
28;-38.83386046;-19.08219416
29;-38.49418185;-19.50046055
30;-38.27239029;-19.07948359
31;-38.28185147;-19.70679644
32;-38.74916539;-19.09627074
33;-38.27915448;-19.98442547
34;-38.25739656;-18.81359714
35;-39.85575411;-20.19234118
36;-38.04654573;-19.23801369
37;-38.22045396;-18.975999
38;-38.425717;-19.46860337
39;-39.66385562;-19.87388665
40;-38.81399853;-19.3951525
41;-37.99150313;-18.95975364
42;-37.96254655;-19.16965032
43;-38.59840846;-19.47016537
44;-40.55457334;-20.90984544
45;-38.09817647;-19.71714146
46;-38.3334264;-19.30383295
47;-38.42826577;-19.45000749
48;-38.15760887;-19.86209575
49;-38.1872577;-18.83725517
50;-38.02095417;-19.07095819
51;-38.78681877;-18.91388335
52;-39.95924291;-20.11000904
53;-38.98309828;-19.47713628
54;-38.0960317;-19.09696106
55;-38.29844643;-18.8340748
56;-38.40149542;-19.36233069
57;-38.27849379;-18.79308432
58;-40.41072693;-21.30110663
59;-38.31231083;-19.01748408
60;-39.77289867;-19.94491604
61;-39.6326771;-19.76133971
62;-38.68033499;-19.33756864
63;-38.15425907;-19.75012072
64;-38.16257056;-19.00986877
65;-37.93854957;-20.63083865
66;-37.90278621;-18.94876259
67;-38.31101499;-19.92558749
68;-38.07680957;-20.65685239
69;-37.87776201;-18.97191377
70;-38.22606933;-18.84907135
71;-38.16347641;-19.92671852
72;-38.25067501;-18.9209447
73;-40.64037514;-20.92006585
74;-38.68742597;-19.15857057
75;-38.00822832;-19.07308441
76;-38.28668784;-19.84033432
77;-39.19359162;-19.4663501
78;-38.06161519;-19.90732087
79;-38.43760095;-19.09102093
80;-38.10731749;-19.96092986
81;-38.1164594;-19.32002242
82;-38.16306642;-20.06098103
83;-38.18162395;-19.94184805
84;-40.0060849;-20.71259176
85;-38.72223731;-19.40246885
86;-38.17280624;-19.17661319
87;-38.37003708;-19.37426971
88;-38.17114692;-19.8962433
89;-38.01165047;-19.00477805
90;-37.76593267;-20.72928713
91;-40.28109318;-20.99522709
92;-37.94835527;-19.79949371
93;-38.1238167;-19.75841177
94;-38.39244998;-19.07098681
95;-37.91387684;-19.02455659
96;-38.31929843;-18.81206371
97;-38.09313364;-19.78294196
98;-38.78818706;-19.32899793
99;-39.76492215;-19.88305499
100;-38.70073669;-19.50308348
101;-38.12328972;-19.6277902
102;-40.1317597;-20.78987717
103;-38.37997022;-19.38587006
104;-39.3770086;-19.654876
105;-38.12087946;-19.12373892
106;-40.50694281;-20.98268533
107;-38.68245478;-19.15842143
108;-38.38274348;-19.69778614
109;-38.25911085;-19.80525676
110;-38.1442174;-18.98521143
111;-38.03033979;-19.51976614
112;-38.00269346;-19.19867433
113;-38.27969396;-20.06408763
114;-38.14112716;-19.56896236
115;-38.65866531;-18.91602285
116;-38.07582989;-19.79051588
