"x";"y"
"1";-40.4148816345574;-21.0143688598562
"2";-40.2433066273264;-20.7890319647454
"3";-40.482060093583;-21.0275678357462
"4";-40.4344101905412;-21.005312108173
"5";-40.5270506655423;-20.9622876184053
"6";-40.4041568802319;-21.4008527782069
"7";-40.5545733367577;-20.9098454400505
"8";-40.4107269327646;-21.3011066331992
"9";-40.6403751368551;-20.9200658489408
"10";-40.0060848999741;-20.7125917592191
"11";-40.2810931762559;-20.9952270938178
"12";-40.1317596962497;-20.7898771743583
"13";-40.5069428122709;-20.9826853339117
"14";-40.2226974610191;-20.9593400969367
"15";-40.4063056003853;-21.2985751711849
"16";-40.3837533296423;-21.3649032483648
"17";-40.61642813391;-21.055393621186
"18";-40.2208262181128;-20.7799495343375
"19";-40.3835634454956;-21.0137632076488
"20";-40.438170626588;-21.0793153981854
"21";-40.2234099461109;-21.031619105942
"22";-40.1392826274678;-20.7567368167442
"23";-40.2119449659786;-20.9786085480945
"24";-40.6462037190549;-21.0099581470607
"25";-40.3303285603069;-20.7804768718264
"26";-40.5972980901059;-20.9079671668355
"27";-40.554938301908;-21.05599571354
"28";-40.5311919493452;-21.0174556360464
"29";-40.3583404769099;-21.1612822885988
"30";-40.4860112337088;-20.976047859631
"31";-40.3459875330338;-21.4079420470958
"32";-40.3183459237976;-21.2498773278073
"33";-40.6636612860539;-21.0630956136128
"34";-40.3121904082013;-21.1995437980909
"35";-40.539157350103;-20.9101273357216
"36";-40.4535935207635;-21.0709118318297
"37";-40.6024829633282;-20.8856983585498
"38";-40.465205860155;-21.0744846860503
"39";-40.6441491495848;-21.0535888794665
