"x";"y"
"1";-38.33278965465;-19.6590026752457
"2";-38.3329802744172;-20.0677407322007
"3";-38.7219448799479;-19.2613065929849
"4";-38.2802076255592;-19.6371562989326
"5";-36.7026961723107;-20.381953142231
"6";-38.9630309354374;-19.4486798603112
"7";-38.3223654565064;-19.7942600646648
"8";-38.333428433894;-18.8438351840697
"9";-37.9971796584508;-19.8386923609854
"10";-38.3455477663202;-19.0234303814291
"11";-38.0971648529334;-20.6840263224344
"12";-38.2200886501535;-19.7683330149159
"13";-38.0595036377204;-18.8480258691419
"14";-38.196817067967;-19.6439490251599
"15";-38.0011854065822;-19.7202748505984
"16";-38.1412789748834;-19.0714192679636
"17";-37.811665713382;-20.7468172137061
"18";-38.3080367237554;-19.0560880465972
"19";-38.3034542652114;-19.2987420215785
"20";-38.3805289860679;-19.3824628066156
"21";-38.083578640277;-19.8550207448947
"22";-38.8338604591325;-19.0821941588157
"23";-38.4941818547438;-19.5004605485174
"24";-38.2723902918404;-19.079483591981
"25";-38.2818514713594;-19.7067964432155
"26";-38.7491653868511;-19.0962707371601
"27";-38.2791544796562;-19.9844254653216
"28";-38.2573965614716;-18.8135971434954
"29";-39.8557541063178;-20.1923411781023
"30";-38.0465457286669;-19.2380136886839
"31";-38.2204539601533;-18.9759990013386
"32";-38.4257170036183;-19.4686033671971
"33";-39.6638556241516;-19.8738866532853
"34";-38.813998526507;-19.3951525029017
"35";-37.9915031347601;-18.959753635429
"36";-37.9625465526612;-19.1696503190516
"37";-38.5984084560261;-19.4701653712642
"38";-38.0981764701799;-19.7171414626652
"39";-38.333426399925;-19.3038329483698
"40";-38.4282657657515;-19.4500074875004
"41";-38.1576088665405;-19.8620957478988
"42";-38.187257695679;-18.8372551738743
"43";-38.0209541725399;-19.0709581909713
"44";-38.7868187735154;-18.9138833452009
"45";-39.9592429127892;-20.1100090384605
"46";-38.9830982808969;-19.4771362785262
"47";-38.0960316966088;-19.0969610553728
"48";-38.2984464279543;-18.8340748020559
"49";-38.4014954185142;-19.3623306887238
"50";-38.2784937904281;-18.7930843205945
"51";-38.3123108293123;-19.0174840808981
"52";-39.7728986706004;-19.9449160402966
"53";-39.6326771048495;-19.7613397134469
"54";-38.6803349874896;-19.3375686396661
"55";-38.1542590749558;-19.7501207246143
"56";-38.1625705647726;-19.0098687660252
"57";-37.9385495665689;-20.6308386462794
"58";-37.9027862149407;-18.9487625863871
"59";-38.3110149909364;-19.9255874910699
"60";-38.0768095725497;-20.6568523900376
"61";-37.8777620105591;-18.971913772695
"62";-38.2260693301699;-18.8490713519459
"63";-38.1634764146905;-19.9267185157
"64";-38.2506750088179;-18.9209447026302
"65";-38.6874259655169;-19.1585705731799
"66";-38.0082283193378;-19.0730844102278
"67";-38.2866878423542;-19.8403343151942
"68";-39.1935916219587;-19.4663501026855
"69";-38.0616151853039;-19.9073208674452
"70";-38.4376009504315;-19.0910209319196
"71";-38.1073174886042;-19.9609298554643
"72";-38.1164593956898;-19.3200224173327
"73";-38.1630664242395;-20.0609810336944
"74";-38.1816239485869;-19.9418480478005
"75";-38.7222373126645;-19.4024688499734
"76";-38.1728062447472;-19.176613194142
"77";-38.3700370825275;-19.3742697091065
"78";-38.1711469204731;-19.89624330309
"79";-38.0116504711928;-19.0047780480358
"80";-37.7659326679669;-20.729287130174
"81";-37.948355268361;-19.7994937149429
"82";-38.1238167009197;-19.7584117732498
"83";-38.3924499821241;-19.0709868075343
"84";-37.9138768418216;-19.0245565935647
"85";-38.3192984264901;-18.8120637095154
"86";-38.093133642087;-19.7829419596746
"87";-38.7881870594365;-19.328997933205
"88";-39.7649221504677;-19.8830549891033
"89";-38.7007366864964;-19.5030834790075
