ID;X;Y
1;-48.39781371;2.604061961
3;-50.32753622;4.663680414
4;-45.25985933;0.324547655
6;-49.10981574;3.43609798
7;-47.99169745;2.687912781
8;-49.33260243;3.096784551
9;-46.60776049;1.022240618
10;-48.85307178;3.393889996
11;-45.02151106;-0.215928969
13;-46.17111659;0.848951476
14;-48.06887927;2.204635207
15;-46.05163725;0.761941637
16;-43.00096126;-1.796252618
17;-50.21999562;4.486680247
18;-47.87716798;2.020504436
19;-47.35057611;1.735146097
20;-46.65662715;1.361943885
21;-47.40014985;1.561984615
22;-49.83222601;3.686263625
23;-42.0432888;-2.319147382
24;-47.95062155;1.735304358
25;-48.9873245;3.315953692
26;-45.1871366;0.294416989
27;-41.85056124;-2.197329156
29;-45.35220141;-0.000896766
30;-44.40994486;-0.683608946
31;-47.93716154;1.792573528
33;-48.01046019;1.883171596
34;-45.12916167;0.32245283
35;-44.38344347;-0.526429378
36;-49.75715315;3.72304004
37;-49.87656059;3.723248581
38;-45.99599842;0.64843118
40;-47.29987345;1.655064477
41;-49.37293767;3.094327474
42;-50.39947753;4.760398872
43;-47.68258499;2.460974326
44;-45.15505126;0.025840659
46;-47.52989135;2.037113133
47;-50.75556461;5.12589833
49;-50.04792233;4.483759137
50;-48.84511035;3.33393354
51;-47.81102316;2.006212075
52;-41.81704937;-2.178611682
53;-45.10193581;0.29764644
54;-44.750499;-0.022494265
55;-47.84530554;1.958857149
56;-45.30960073;0.333308518
57;-47.53288404;2.295199818
58;-47.10438586;1.477826469
60;-47.43361734;1.526412159
61;-47.29943903;1.399628786
62;-48.02929849;2.250600972
63;-46.28627488;0.882144143
65;-49.76270756;3.808332436
66;-49.79252802;3.846424637
68;-48.34413723;2.270408134
69;-47.36589362;1.843579363
70;-47.88194959;1.905155047
71;-46.25667242;0.918832272
72;-44.7435422;-0.136303136
73;-47.19127617;1.494470347
74;-50.00159512;4.38843161
76;-47.29808008;1.79389552
77;-48.93607515;3.436226614
78;-47.71692707;2.515600108
79;-44.55528822;-0.112577243
80;-49.39606974;3.2522939
81;-47.46149759;1.436602614
83;-44.99574544;-0.077672654
84;-50.03538818;4.438357076
85;-46.71463649;1.132763395
86;-46.3180257;0.829977379
87;-46.49309066;1.048090437
88;-43.21850066;-1.655922453
89;-50.27825544;3.883945102
90;-44.7188902;-0.092118945
91;-47.11359693;1.436867697
92;-46.27125429;0.99412674
93;-45.03972466;0.087567232
94;-45.34627527;-0.013702476
96;-48.86466328;2.874787155
97;-47.30936684;1.538635433
98;-48.01621385;1.829981195
99;-49.71482814;3.688557109
100;-47.13983232;1.568558682
102;-47.51189856;1.714930608
103;-47.51111261;2.032271233
104;-47.49676307;1.59931167
106;-44.88800129;-0.142288564
109;-49.01116347;3.126149786
110;-44.85431463;-0.061544033
111;-50.31094682;4.665539205
112;-47.9099556;2.046169933
113;-49.17673975;3.190753623
114;-42.02152213;-2.370884307
115;-49.24831862;3.152274453
117;-47.90821086;1.915384472
118;-50.39778509;4.758346555
119;-49.0076013;3.114900213
120;-49.13873579;2.963311619
121;-49.27723159;3.035040418
122;-49.16602753;3.468029122
123;-47.36731493;1.563785218
124;-47.61745915;1.522095092
125;-49.69466134;3.616132588
126;-47.98535827;1.843751675
127;-50.28645794;4.507475955
128;-44.8753293;-0.062858831
129;-44.31945462;-0.650992961
130;-48.57580697;3.517700773
131;-48.81990655;3.300834405
132;-44.77742625;0.018831661
133;-41.95700751;-2.21930372
134;-49.16145502;3.076832246
135;-44.78623396;-0.21739827
136;-47.98070566;2.166594589
138;-46.58202955;1.255402627
139;-45.3614952;0.111069435
140;-47.49561175;1.519372336
141;-45.62094775;0.411971816
142;-46.46953373;0.944260934
143;-45.12767144;0.071534778
144;-49.90137942;3.779276983
145;-46.41286576;1.039084851
146;-45.35611463;0.265632054
147;-48.65711953;3.510558123
148;-44.76660092;-0.210430143
149;-49.14969426;3.466467738
150;-47.23828848;1.469088547
