"x";"y"
"1";-40.5300640464347;-22.3897326661789
"2";-40.168401384287;-22.3164131503142
"3";-40.491063716364;-22.3874032875219
"4";-40.5645989058789;-22.344615748919
"5";-40.362370557625;-22.2986234720776
"6";-40.4947294437015;-22.4713273126802
"7";-40.5093330487542;-22.477751780177
"8";-40.2632903042716;-22.2895103968488
"9";-40.1671201861211;-22.3099989696643
"10";-40.483953515223;-22.3032969726365
"11";-40.5733484602004;-22.4805161772388
"12";-40.424378182204;-22.3461191776335
"13";-40.16130330149;-22.2804311172033
"14";-40.590672781379;-22.4710006931623
"15";-40.5714103743137;-22.3497861930607
"16";-40.3662723498366;-22.348616889973
"17";-40.4391213770076;-22.3575384419422
"18";-40.3992154993651;-22.2852279391438
"19";-40.421469086725;-22.2976298530966
"20";-40.5243808372212;-22.4830689065409
"21";-40.2596768984007;-22.2870311776042
"22";-40.4710534928538;-22.4519738375987
"23";-40.4881752127012;-22.3557865541061
"24";-40.2132560389199;-22.2737812017996
"25";-40.3779792250363;-22.286890832325
"26";-40.4215221112563;-22.252745069425
"27";-40.5860284394523;-22.4555063734935
"28";-40.5844663027329;-22.3993473673733
"29";-40.4938567404254;-22.2860071898854
"30";-40.5862350819458;-22.5188327641785
"31";-40.4736212226358;-22.4774316073409
"32";-40.1315192207076;-22.1853929786917
"33";-40.0804814731554;-22.2491722899834
"34";-40.2786599067603;-22.2443310463395
"35";-40.1332794837752;-22.2744870573494
"36";-40.1490516525032;-22.1750055048901
"37";-40.4283018139005;-22.3683937985798
"38";-40.4804759337178;-22.2553953612848
"39";-40.2654402145914;-22.2752188971165
"40";-40.4246295155911;-22.4047611539329
"41";-40.4475692395798;-22.261312030136
"42";-40.5087697701048;-22.3003478155924
"43";-40.0995439043314;-22.293377795089
"44";-40.4917488883292;-22.460144072804
"45";-40.2995089138039;-22.355062099765
"46";-40.3487616602256;-22.3163711338904
"47";-40.5502587212822;-22.3289141450249
"48";-40.4893346630849;-22.2580252939982
"49";-40.2570224342354;-22.2555190233199
"50";-40.3058013824854;-22.2871508314645
"51";-40.5423611672202;-22.4423116891461
"52";-40.1780293149132;-22.2654226341384
"53";-40.5029098279752;-22.2893498426854
"54";-40.4157556130655;-22.437275310527
"55";-40.4430123989024;-22.3616829327305
"56";-40.4025258558684;-22.4225546252052
"57";-40.6223948989809;-22.3630738815197
"58";-40.3918476864611;-22.2424204424883
"59";-40.6128960457738;-22.341921030919
"60";-40.5731149808751;-22.5275239007148
"61";-40.3669837388303;-22.3934761877377
"62";-40.2629496641574;-22.3383117667529
"63";-40.5310948725411;-22.3169897599716
"64";-40.5113518582243;-22.3317143631532
"65";-40.1636905937141;-22.2947587045103
"66";-40.5788507499412;-22.5690909770816
"67";-40.3721113215126;-22.2467181261701
"68";-40.0933430169816;-22.1967698742887
"69";-40.4564141784265;-22.461888946827
"70";-40.5235679543512;-22.2933709768928
"71";-40.366958623798;-22.2023346196272
"72";-40.3936146742353;-22.2826277106228
"73";-40.6054141356766;-22.5309336211303
"74";-40.6515160963938;-22.3970168622428
"75";-40.1883372387619;-22.2572319215688
"76";-40.3301390782883;-22.323286115247
"77";-40.4445885681421;-22.249304855842
"78";-40.2808749496694;-22.3203878210666
"79";-40.5891995038049;-22.4946110303032
"80";-40.4079080876564;-22.2774256559112
"81";-40.630008511661;-22.5367856825644
"82";-40.5304187336643;-22.5417423198792
"83";-40.4482432673167;-22.4099881381672
"84";-40.074385560533;-22.2668183547382
"85";-40.5157105329385;-22.3178951779068
"86";-40.5620083893233;-22.571307811035
"87";-40.5560971120749;-22.4043317617822
"88";-40.2860566670801;-22.3039320636675
"89";-40.3791895351571;-22.343362021257
"90";-40.2196018122188;-22.2670159328542
"91";-40.4546849494507;-22.3541125346211
"92";-40.5994303971752;-22.5024537630523
"93";-40.5875085401454;-22.463189390846
"94";-40.1367934903687;-22.2910656117901
"95";-40.5832884313043;-22.4797810469862
"96";-40.5991705797518;-22.3484776471095
"97";-40.4560164602476;-22.284292151682
"98";-40.1199685105158;-22.2101836096528
"99";-40.4955204396874;-22.3172344830467
"100";-40.3608319402118;-22.3321395997261
"101";-40.5116693550287;-22.3474225971199
"102";-40.3649403525379;-22.3545193377504
"103";-40.4897305320007;-22.3670302756966
"104";-40.3804643620948;-22.4066486361404
"105";-40.475504915531;-22.4175349523105
"106";-40.4382131413046;-22.2374661948747
"107";-40.3972040687379;-22.3757750141279
"108";-40.433082813223;-22.2356172954423
"109";-40.5423911968942;-22.4201384975439
"110";-40.5122215874451;-22.3140931946938
"111";-40.4302308334778;-22.3057217928274
"112";-40.3195646658249;-22.3321096654077
"113";-40.3149704171865;-22.3144538214832
"114";-40.4625924396875;-22.3795065234867
"115";-40.513030755109;-22.4269343923688
"116";-40.6374433041933;-22.4010336220852
"117";-40.1008259306625;-22.2137745136329
"118";-40.0828650339103;-22.1974258072966
"119";-40.5113270665072;-22.3526733482182
"120";-40.5615313017041;-22.4094408139598
"121";-40.2122896844553;-22.2570063458799
"122";-40.5784023991521;-22.4697135928004
"123";-40.4627875530602;-22.2865807614661
"124";-40.4205225893197;-22.2689949317354
"125";-40.1017228406025;-22.1866559683811
"126";-40.5549669518824;-22.3016353368659
"127";-40.4315575704406;-22.2265913883546
"128";-40.4095427709752;-22.2416917274648
"129";-40.2525618931235;-22.278182186497
"130";-40.4055442787375;-22.2975481319598
"131";-40.3816390391523;-22.2134441038401
"132";-40.5414320430739;-22.5115842237348
"133";-40.634586554228;-22.3936018344366
"134";-40.4313366595429;-22.2776796104484
"135";-40.3926226431761;-22.36797578386
"136";-40.4034333914258;-22.2141128177121
"137";-40.1336472623525;-22.2457411544452
"138";-40.3448668860116;-22.2641666561916
"139";-40.4334925482755;-22.2547332904016
"140";-40.32466691719;-22.2041920589607
"141";-40.4652208937961;-22.2545127840897
"142";-40.4841225953259;-22.3133085536413
"143";-40.5841364579557;-22.3940543589781
"144";-40.6403327476387;-22.3856253920023
"145";-40.6222211777894;-22.4034829325481
"146";-40.5222532766572;-22.3509701034275
"147";-40.5814033151827;-22.3763061696701
"148";-40.0824568552467;-22.2709449828622
"149";-40.3378968386857;-22.3031943437584
"150";-40.2662877179059;-22.3594605812757
"151";-40.4766696115166;-22.456191956071
"152";-40.5922271435209;-22.4318402376126
"153";-40.1569292718046;-22.2613986685142
"154";-40.5028629594993;-22.4311952935626
"155";-40.4907030753249;-22.3256554215453
"156";-40.6046121593441;-22.4889714273787
"157";-40.2103967915322;-22.2508533536494
"158";-40.3203450068644;-22.275218449485
"159";-40.4508259279794;-22.4032500298027
"160";-40.2396828534399;-22.2964217965621
"161";-40.329218379937;-22.353935247915
"162";-40.1794286878527;-22.2516887985058
"163";-40.2779446342308;-22.2804300515644
"164";-40.16865688908;-22.2837770950966
