"x";"y"
"1";-41.258961022351;-23.3055308564506
"2";-41.2533428546493;-23.29732171133
"3";-41.2818467578437;-23.3139756521661
"4";-41.2574393051198;-23.3394692445474
"5";-41.2431225383865;-23.3066709812565
"6";-41.2771153301358;-23.3468487760052
"7";-41.2560825237098;-23.3105341268398
"8";-41.2399673971557;-23.335471413912
"9";-41.2446352009159;-23.3038352891949
"10";-41.2454485965977;-23.3287746433561
"11";-41.288809879008;-23.3261117242298
"12";-41.2691483882258;-23.3473446357932
"13";-41.2339937062807;-23.309773373163
"14";-41.2338987698946;-23.3245312914807
"15";-41.2863761067062;-23.3507848485486
"16";-41.2523028331204;-23.3227721696929
"17";-41.2808379001633;-23.3322106074459
"18";-41.2717092245601;-23.3330276438994
"19";-41.2749863860756;-23.3337145921687
"20";-41.2661374006148;-23.3176946659378
"21";-41.2476059059913;-23.3049311866485
"22";-41.2556010611841;-23.2980618744465
"23";-41.2763447331949;-23.3158428392246
"24";-41.2270441562917;-23.302832051327
"25";-41.2421825851648;-23.2943393588813
"26";-41.2836954159599;-23.3204643515564
"27";-41.2370263234738;-23.2913631310168
"28";-41.2636785979976;-23.3466098076781
"29";-41.2428252054458;-23.3013027989755
"30";-41.2359414173038;-23.3343356379114
"31";-41.2928753411837;-23.3245130891819
"32";-41.2845432988647;-23.3417716782514
"33";-41.2763026238362;-23.3417388780121
"34";-41.2905614968499;-23.3554999401988
"35";-41.2556865452589;-23.336918485251
"36";-41.2749050398439;-23.3471987613417
"37";-41.2783157068831;-23.308723725996
"38";-41.2746650782512;-23.3031249757454
"39";-41.2701024305605;-23.3381279794605
"40";-41.2814168613679;-23.305085459421
"41";-41.2383844938137;-23.3118143863348
"42";-41.2419929471552;-23.3360511821342
"43";-41.290116910557;-23.3276433182072
"44";-41.2792602264506;-23.3283624124853
"45";-41.278830432928;-23.3266043783292
"46";-41.2592403177678;-23.3445692535117
"47";-41.2858939503463;-23.3402810807779
"48";-41.2852371186414;-23.3212209809784
"49";-41.2624769032268;-23.3049654803357
"50";-41.282291757373;-23.3105874503614
"51";-41.2727517895466;-23.3142013655229
"52";-41.2560395009846;-23.2969086261533
"53";-41.234166455166;-23.3172524395691
"54";-41.2791300935248;-23.3155429224198
"55";-41.270291182438;-23.2966928601615
"56";-41.2566170278748;-23.3332847026483
"57";-41.2830058151523;-23.3141282288974
"58";-41.2365517693333;-23.2907135102253
"59";-41.2348586327035;-23.3272155526308
"60";-41.273577020818;-23.336570971894
"61";-41.2372574355681;-23.2982572460471
"62";-41.2817136514255;-23.3351895746065
"63";-41.2723457071804;-23.3435657640267
"64";-41.2759535779679;-23.3251182521094
"65";-41.2384552495361;-23.3292966241715
"66";-41.2920007618424;-23.3283635972945
"67";-41.2351054233577;-23.3081845440924
"68";-41.2433870361305;-23.2859379296398
"69";-41.2864883397935;-23.350651937924
"70";-41.2445673032962;-23.3328521536436
"71";-41.2718038902076;-23.3238408281807
"72";-41.2847124825655;-23.3285321810666
"73";-41.2789912176584;-23.3481005971922
"74";-41.2573186858411;-23.3117616277345
"75";-41.2534489163531;-23.3104583127718
"76";-41.2569248941346;-23.3093656662908
"77";-41.2716928768769;-23.3451516816255
"78";-41.2734744297808;-23.3188952321918
"79";-41.2387287987736;-23.3095062989564
"80";-41.2685979017783;-23.3253576112567
"81";-41.2719349716107;-23.3462802871952
"82";-41.2911308873434;-23.3353193615574
"83";-41.2850108085388;-23.3543496889283
"84";-41.287020529586;-23.3233098785135
"85";-41.2367149206157;-23.3161957852048
"86";-41.2581952467956;-23.3037980361229
"87";-41.2879975430836;-23.3528922246226
"88";-41.2267071626256;-23.321378008691
"89";-41.2701063243586;-23.3423050541143
"90";-41.2950105050039;-23.3218185916339
"91";-41.2569448080656;-23.3160738387627
"92";-41.2280511159;-23.3157271304473
"93";-41.2313465563349;-23.3290937129805
"94";-41.2677732441209;-23.3356698487026
"95";-41.2429248730974;-23.3293176054409
"96";-41.2816861660242;-23.3194213849528
"97";-41.2512336244176;-23.3377531959981
"98";-41.2411399139808;-23.2927726525862
"99";-41.2844569591543;-23.3249574760218
"100";-41.2831204298056;-23.3161169721146
"101";-41.270249166804;-23.3089626689041
"102";-41.2915527162741;-23.3354991911581
"103";-41.2893388719907;-23.3144507258356
"104";-41.2687218721524;-23.3156890571527
"105";-41.2835970505427;-23.3023048665118
"106";-41.2385964036729;-23.3102963437477
"107";-41.2743553380895;-23.3211905541342
"108";-41.2983320106747;-23.3126019027174
"109";-41.2764283961782;-23.3149251813203
"110";-41.2832753585546;-23.3403793391271
"111";-41.2413884289557;-23.3070970377581
"112";-41.2730444408779;-23.3050831867024
"113";-41.2764380858117;-23.3410435278672
"114";-41.2337316838095;-23.3178909099691
"115";-41.2676284135375;-23.3052457789654
"116";-41.2352473396576;-23.319213784919
"117";-41.2495929619232;-23.2955774379149
"118";-41.2666885668197;-23.3458084488359
"119";-41.281323658837;-23.307569555989
"120";-41.2384932068127;-23.3223275481572
"121";-41.2355957660047;-23.3151340186306
"122";-41.2674970248972;-23.3058157562432
"123";-41.2414899846039;-23.2845032039061
"124";-41.2844486868205;-23.3424938425881
"125";-41.2676317036035;-23.3235948767794
"126";-41.2895463207281;-23.3569624813535
"127";-41.2288697458252;-23.3028518212019
"128";-41.2738160057259;-23.3377927208075
"129";-41.2567703858497;-23.3196984172067
"130";-41.2452755265607;-23.2849804184779
"131";-41.2645608019079;-23.3127092169505
"132";-41.2652552248039;-23.3448630204614
"133";-41.2520819262543;-23.3160092922582
"134";-41.2612019139804;-23.3076819530695
"135";-41.254174967306;-23.3320130411796
"136";-41.2288240812493;-23.3156983737809
"137";-41.246819049829;-23.2859844129004
"138";-41.2366034023784;-23.3178338587706
"139";-41.255306035172;-23.3385831455331
"140";-41.239330381962;-23.2854977393315
"141";-41.2561056642082;-23.30809392601
"142";-41.270956940658;-23.3449922266806
"143";-41.2902329336061;-23.3445221835024
"144";-41.2421747598804;-23.3368458239969
"145";-41.2427142052906;-23.3274625142959
"146";-41.2689605852402;-23.3046279312651
"147";-41.234235999567;-23.3139887938153
"148";-41.2782076575641;-23.3342866744142
"149";-41.2462887745644;-23.2859127034259
"150";-41.2282968937673;-23.3111384080984
"151";-41.2445432590381;-23.3186642497972
"152";-41.2791982015568;-23.3355761424556
"153";-41.2422619764046;-23.3285897062295
"154";-41.2866015240797;-23.3468569690485
"155";-41.275367778744;-23.3368369337904
"156";-41.2859827397354;-23.3221331307059
"157";-41.2556924908016;-23.3259801385616
"158";-41.2337787376397;-23.2813570490772
"159";-41.2593232082062;-23.2951481556932
"160";-41.2252717540854;-23.306330225979
"161";-41.2581498354751;-23.3417215792466
"162";-41.2372615719693;-23.3145180478301
"163";-41.2493983113474;-23.3142248812365
"164";-41.2742270815528;-23.297695548715
"165";-41.2400626596862;-23.2993476939377
"166";-41.2878095336691;-23.3464407841176
"167";-41.2599474296721;-23.3225659491378
"168";-41.253455198332;-23.3194343098273
"169";-41.2355534067432;-23.3217379880095
"170";-41.2717912341472;-23.2977979585894
"171";-41.2311539625505;-23.298170770548
"172";-41.2537707870852;-23.2979571348689
"173";-41.2356731657902;-23.2989045969526
"174";-41.2313663795331;-23.31065507246
"175";-41.2549406177928;-23.3290662725322
"176";-41.2850320623204;-23.3207606679833
"177";-41.2633121175445;-23.3124535693569
"178";-41.2410332708226;-23.3105252778814
"179";-41.2358843426491;-23.3282080123399
"180";-41.2838476492188;-23.3063567028731
"181";-41.2471301676555;-23.3121348313835
"182";-41.2525587437234;-23.3340932250344
"183";-41.2497847235392;-23.3308340302805
"184";-41.2375753473273;-23.3348408744779
"185";-41.2428089114922;-23.3056110461684
"186";-41.2770820672836;-23.3491523252964
"187";-41.2390508455823;-23.2981293187228
"188";-41.2324312917815;-23.3252991226877
"189";-41.2767351087395;-23.3331947048982
"190";-41.2608061554764;-23.3137274289163
"191";-41.2442242227791;-23.298708629939
"192";-41.253926109857;-23.3049785418029
"193";-41.2708418903284;-23.3134736847894
"194";-41.2509552648072;-23.2929558195065
"195";-41.2708430145397;-23.2965953739368
"196";-41.2550180817978;-23.3307731568195
"197";-41.2809495260399;-23.3347834361434
"198";-41.2698166046679;-23.3253560563995
"199";-41.2675068662027;-23.3049815520812
"200";-41.2953792090966;-23.3160973688613
